iter	Passed	Remaining
0	143	143079
1	145	72808
2	147	49070
3	149	37194
4	151	30073
5	152	25313
6	154	21907
7	156	19348
8	158	17451
9	160	15853
10	161	14538
11	163	13449
12	164	12525
13	166	11734
14	168	11043
15	169	10440
16	171	9908
17	173	9450
18	174	9030
19	176	8647
20	178	8307
21	179	7992
22	181	7707
23	183	7445
24	184	7203
25	186	6979
26	188	6780
27	189	6589
28	191	6410
29	193	6243
30	194	6088
31	196	5948
32	198	5815
33	200	5686
34	201	5567
35	203	5461
36	206	5364
37	207	5259
38	209	5161
39	211	5066
40	213	4984
41	216	4927
42	218	4854
43	220	4781
44	222	4712
45	223	4643
46	225	4578
47	227	4513
48	229	4449
49	231	4389
50	232	4331
51	234	4273
52	236	4224
53	238	4179
54	240	4127
55	241	4078
56	243	4029
57	245	3984
58	247	3940
59	248	3897
60	250	3857
61	252	3820
62	254	3783
63	256	3745
64	258	3711
65	260	3682
66	262	3654
67	264	3621
68	266	3591
69	267	3559
70	269	3527
71	271	3494
72	272	3462
73	274	3433
74	275	3403
75	277	3374
76	279	3346
77	280	3319
78	282	3297
79	284	3272
80	286	3246
81	287	3222
82	289	3198
83	291	3175
84	292	3152
85	294	3130
86	296	3108
87	298	3089
88	299	3068
89	301	3047
90	303	3027
91	304	3007
92	306	2989
93	308	2970
94	309	2951
95	311	2932
96	313	2915
97	314	2898
98	316	2880
99	318	2863
100	319	2845
101	321	2828
102	323	2813
103	324	2798
104	326	2783
105	328	2770
106	330	2757
107	332	2743
108	333	2727
109	335	2713
110	337	2700
111	338	2686
112	340	2671
113	342	2658
114	343	2645
115	345	2634
116	347	2622
117	349	2609
118	350	2597
119	352	2585
120	354	2572
121	355	2560
122	357	2550
123	359	2540
124	361	2530
125	363	2519
126	364	2506
127	366	2495
128	368	2485
129	369	2474
130	371	2464
131	373	2453
132	375	2444
133	376	2435
134	378	2426
135	380	2417
136	382	2407
137	383	2398
138	385	2388
139	387	2380
140	388	2369
141	391	2362
142	393	2356
143	394	2347
144	396	2339
145	398	2330
146	400	2322
147	401	2314
148	403	2306
149	405	2298
150	407	2292
151	409	2284
152	411	2276
153	412	2268
154	414	2261
155	416	2253
156	418	2245
157	419	2238
158	422	2232
159	424	2226
160	425	2218
161	427	2211
162	429	2205
163	431	2198
164	432	2190
165	434	2183
166	436	2176
167	438	2171
168	440	2164
169	442	2158
170	443	2152
171	445	2145
172	447	2139
173	449	2133
174	451	2126
175	452	2120
176	455	2116
177	457	2111
178	459	2105
179	460	2100
180	462	2094
181	464	2089
182	466	2082
183	468	2076
184	470	2073
185	472	2068
186	474	2062
187	477	2060
188	479	2058
189	481	2052
190	484	2050
191	486	2047
192	488	2041
193	489	2035
194	491	2030
195	493	2025
196	496	2021
197	498	2018
198	500	2013
199	502	2008
200	503	2003
201	505	1997
202	507	1993
203	509	1988
204	511	1985
205	513	1980
206	515	1974
207	517	1971
208	519	1966
209	521	1961
210	523	1956
211	525	1952
212	527	1950
213	529	1946
214	532	1942
215	534	1938
216	536	1934
217	538	1930
218	540	1926
219	542	1923
220	544	1918
221	546	1914
222	548	1910
223	550	1906
224	551	1901
225	554	1898
226	556	1893
227	558	1890
228	559	1883
229	561	1879
230	562	1873
231	564	1868
232	566	1863
233	568	1859
234	570	1856
235	571	1851
236	574	1847
237	575	1843
238	577	1839
239	579	1834
240	581	1830
241	582	1825
242	584	1820
243	585	1814
244	587	1810
245	589	1806
246	591	1802
247	593	1800
248	596	1798
249	598	1794
250	599	1789
251	602	1787
252	604	1783
253	605	1779
254	607	1775
255	610	1774
256	612	1770
257	614	1766
258	616	1762
259	617	1758
260	619	1754
261	621	1751
262	624	1749
263	626	1747
264	628	1744
265	631	1741
266	632	1737
267	634	1733
268	636	1729
269	638	1725
270	640	1723
271	642	1720
272	644	1717
273	646	1713
274	648	1709
275	650	1705
276	652	1702
277	653	1698
278	656	1696
279	658	1693
280	660	1689
281	661	1685
282	663	1681
283	665	1677
284	667	1674
285	669	1671
286	671	1669
287	673	1664
288	675	1661
289	676	1657
290	678	1653
291	680	1650
292	682	1647
293	684	1644
294	688	1646
295	690	1643
296	692	1639
297	694	1636
298	696	1633
299	698	1630
300	700	1626
301	702	1624
302	705	1621
303	706	1618
304	708	1614
305	710	1611
306	712	1607
307	713	1603
308	715	1600
309	717	1597
310	720	1595
311	722	1592
312	724	1589
313	726	1586
314	727	1582
315	729	1579
316	731	1575
317	733	1574
318	736	1571
319	737	1567
320	739	1564
321	741	1560
322	742	1557
323	744	1553
324	746	1550
325	748	1548
326	750	1545
327	752	1541
328	754	1538
329	756	1535
330	757	1531
331	759	1528
332	761	1524
333	763	1522
334	765	1520
335	767	1517
336	769	1514
337	771	1511
338	773	1507
339	775	1504
340	776	1501
341	779	1499
342	781	1496
343	783	1493
344	784	1490
345	786	1486
346	788	1483
347	789	1480
348	791	1476
349	793	1473
350	795	1471
351	797	1468
352	799	1465
353	800	1461
354	802	1458
355	804	1455
356	806	1451
357	807	1448
358	809	1445
359	811	1443
360	813	1440
361	815	1436
362	816	1433
363	818	1430
364	820	1427
365	821	1423
366	823	1420
367	826	1418
368	828	1416
369	829	1412
370	831	1409
371	833	1406
372	834	1403
373	836	1399
374	838	1396
375	839	1393
376	842	1392
377	844	1389
378	846	1386
379	847	1383
380	849	1380
381	851	1377
382	852	1374
383	854	1371
384	856	1367
385	858	1366
386	860	1363
387	862	1359
388	863	1356
389	865	1353
390	866	1350
391	868	1347
392	870	1344
393	871	1340
394	874	1339
395	876	1336
396	877	1333
397	879	1330
398	881	1327
399	882	1324
400	884	1321
401	886	1318
402	887	1315
403	890	1313
404	891	1310
405	893	1307
406	895	1304
407	896	1301
408	898	1298
409	900	1295
410	901	1292
411	903	1290
412	906	1287
413	907	1285
414	909	1282
415	911	1279
416	913	1276
417	914	1273
418	916	1270
419	918	1268
420	920	1266
421	922	1263
422	924	1260
423	925	1257
424	927	1254
425	929	1252
426	930	1249
